room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10938,39550,Entire home/apt,,Nou Barris,19,5.0,4,2.0,102.0,3,41.432447,2.17098,2015-01-14 21:46:00.806
11194,41161,Private room,,Ciutat Vella,34,4.5,2,1.0,58.0,2,41.383905,2.181047,2015-01-14 21:46:05.377
11368,42188,Entire home/apt,,Ciutat Vella,17,4.5,4,1.0,124.0,1,41.387507,2.178608,2015-01-14 17:51:00.873
15090,59369,Entire home/apt,,Ciutat Vella,97,4.0,6,1.0,102.0,2,41.3836,2.181639,2015-01-15 00:17:44.216
16195,63080,Entire home/apt,,Ciutat Vella,110,5.0,2,1.0,160.0,3,41.383817,2.179957,2015-01-14 16:15:11.783
16627,58227,Private room,,Sant Martí,44,4.0,2,1.0,70.0,2,41.392873,2.187158,2015-01-15 00:20:31.905
18666,71615,Entire home/apt,,Sant Martí,0,,6,2.0,135.0,2,41.408886,2.185545,2015-01-14 23:58:30.872
18674,71615,Entire home/apt,,Eixample,2,5.0,8,3.0,138.0,3,41.404197,2.173058,2015-01-15 00:17:56.777
19116,73005,Private room,,Eixample,65,4.0,2,1.0,74.0,2,41.384779,2.158286,2015-01-14 20:50:39.809
19157,73099,Private room,,Eixample,72,4.5,2,1.0,54.0,2,41.407929,2.17454,2015-01-14 23:06:57.941
19246,73385,Private room,,Eixample,41,4.5,3,1.0,36.0,2,41.384167,2.150367,2015-01-14 15:19:59.952
19428,73846,Entire home/apt,,Ciutat Vella,96,4.5,2,,146.0,3,41.384317,2.17266,2015-01-14 23:43:40.107
19431,73846,Entire home/apt,,Ciutat Vella,97,4.5,2,,116.0,3,41.382536,2.17259,2015-01-14 23:51:15.696
19501,73846,Entire home/apt,,Ciutat Vella,25,4.5,2,,71.0,10,41.385023,2.182658,2015-01-14 15:17:37.418
19502,73846,Entire home/apt,,Ciutat Vella,72,4.5,2,,202.0,2,41.386592,2.182388,2015-01-14 15:20:03.830
19552,74164,Entire home/apt,,Ciutat Vella,139,4.5,4,1.0,73.0,2,41.381082,2.174243,2015-01-14 17:30:28.644
19954,75365,Entire home/apt,,Ciutat Vella,18,5.0,2,1.0,131.0,7,41.388269,2.176325,2015-01-15 00:18:07.859
19959,75410,Entire home/apt,,Ciutat Vella,28,4.5,2,1.0,100.0,14,41.382537,2.171788,2015-01-15 00:32:21.430
20345,76809,Private room,,Nou Barris,42,4.5,4,1.0,33.0,2,41.429013,2.181236,2015-01-14 18:34:29.366
21158,80585,Private room,,Nou Barris,0,,1,1.0,29.0,1,41.427495,2.172357,2015-01-14 20:35:39.565
21974,73163,Private room,,Ciutat Vella,0,,2,1.0,87.0,1,41.380768,2.17551,2015-01-14 23:09:25.827
23404,73005,Private room,,Eixample,36,4.5,2,1.0,51.0,2,41.384253,2.158713,2015-01-14 18:00:35.369
23852,94456,Entire home/apt,,Eixample,0,,4,2.0,324.0,2,41.390915,2.151437,2015-01-14 15:14:48.086
23935,95585,Entire home/apt,,Ciutat Vella,13,5.0,4,2.0,188.0,1,41.381944,2.177421,2015-01-14 18:50:26.872
25457,14621253,Entire home/apt,,Eixample,123,5.0,4,1.0,146.0,3,41.393327,2.178235,2015-01-14 18:15:11.524
28331,14621253,Entire home/apt,,Ciutat Vella,124,5.0,2,1.0,175.0,3,41.387015,2.179262,2015-01-14 20:48:14.306
31377,134698,Private room,,Horta-Guinardó,0,,2,1.0,55.0,3,41.410969,2.170701,2015-01-14 19:35:30.161
31380,134698,Private room,,Horta-Guinardó,0,,3,1.0,65.0,3,41.4109,2.170819,2015-01-14 19:43:51.727
31823,136853,Entire home/apt,,Eixample,6,4.5,6,2.0,164.0,3,41.387336,2.159215,2015-01-14 16:47:52.735
31826,136853,Entire home/apt,,Ciutat Vella,12,4.5,6,2.0,122.0,3,41.38177,2.187106,2015-01-14 16:55:46.298
31831,136853,Private room,,Gràcia,0,,6,1.0,285.0,3,41.398466,2.157697,2015-01-14 17:09:04.831
31845,136853,Entire home/apt,,Gràcia,0,,4,2.0,233.0,3,41.398907,2.160085,2015-01-14 17:43:37.363
31846,136853,Entire home/apt,,Gràcia,0,,4,1.0,180.0,3,41.398423,2.158638,2015-01-14 17:46:09.633
31958,136853,Entire home/apt,,Gràcia,28,5.0,4,1.0,164.0,3,41.409555,2.15924,2015-01-14 23:09:52.349
32341,139879,Entire home/apt,,Sant Martí,30,5.0,4,2.0,291.0,2,41.392137,2.196939,2015-01-14 17:03:00.768
32351,139968,Private room,,Ciutat Vella,63,4.5,2,1.0,38.0,2,41.387672,2.181786,2015-01-14 17:28:52.315
32471,136853,Entire home/apt,,Gràcia,11,4.5,6,3.0,198.0,3,41.408972,2.159313,2015-01-14 23:11:52.690
32711,135703,Entire home/apt,,Gràcia,8,4.5,6,2.0,169.0,2,41.404636,2.169538,2015-01-14 22:31:33.265
32868,136853,Entire home/apt,,Eixample,21,4.5,11,3.0,291.0,5,41.395659,2.174168,2015-01-14 17:40:47.484
32911,142622,Private room,,Ciutat Vella,1,2.0,2,1.0,51.0,1,41.386158,2.181544,2015-01-14 19:30:17.025
33012,143043,Private room,,Sant Martí,0,,1,1.0,44.0,1,41.418275,2.2043,2015-01-15 00:23:54.910
33565,107475,Private room,,Eixample,41,5.0,2,1.0,47.0,2,41.383012,2.145813,2015-01-14 14:34:43.018
