room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
3488221,1076,17562533,Entire home/apt,,Barcelona,,Horta-Guinardó,21,4.0,4,3.0,,81.0,,Apartamento en Barcelona,2017-04-15 22:31:04.304889,41.436938,2.162197,0101000020E61000001213D4F02D4C014098309A95EDB74440
16159087,1076,16149569,Entire home/apt,,Barcelona,,Ciutat Vella,0,0.0,2,1.0,,49.0,,"Pequeño estudio, pleno barrio Raval",2017-04-15 22:29:05.614373,41.379394,2.165501,0101000020E610000072A43330F252014039268BFB8FB04440
7185345,1076,13810972,Entire home/apt,,Barcelona,,Sants-Montjuïc,3,4.0,3,2.0,,55.0,,Delicious apartment in Sants,2017-04-15 22:26:53.188111,41.373555,2.130941,0101000020E6100000F0A485CB2A0C0140EF2076A6D0AF4440
18062913,1076,5767327,Entire home/apt,,Barcelona,,Sants-Montjuïc,0,0.0,2,0.0,,54.0,,1 bedroom renovated historic flat in the center,2017-04-15 22:26:29.471790,41.374964,2.167907,0101000020E6100000E1270EA0DF570140B39602D2FEAF4440
11725299,1076,30629883,Entire home/apt,,Barcelona,,Sant Martí,1,0.0,6,3.0,,1641.0,,PENTHOUSE SEA BARCELONA II,2017-04-15 22:23:14.267747,41.409266,2.217567,0101000020E6100000BA826DC493BD0140B0AE0AD462B44440
17074766,1076,38325952,Entire home/apt,,Barcelona,,Ciutat Vella,0,0.0,12,5.0,,1967.0,,ESPECIAL IN BARCELONA !,2017-04-15 22:23:14.265200,41.374898,2.189612,0101000020E6100000E76ED74B53840140FCAA5CA8FCAF4440
16753970,1076,45764838,Entire home/apt,,Barcelona,,Ciutat Vella,0,0.0,6,3.0,,3283.0,,Jewel in Ancient City - Architectural Masterpiece,2017-04-15 22:23:14.262236,41.382209,2.178611,0101000020E610000098A59D9ACB6D0140529E7939ECB04440
16751496,1076,45764838,Entire home/apt,,Barcelona,,Ciutat Vella,0,0.0,12,5.0,,3257.0,,Villa Adriana- Stunning Views of the Mediterranean,2017-04-15 22:23:14.259313,41.385591,2.172354,0101000020E6100000A3AD4A22FB600140E350BF0B5BB14440
17234057,1076,45764838,Entire home/apt,,Barcelona,,Sarrià-Sant Gervasi,0,0.0,7,4.0,,2812.0,,Casa Arriba - 4BR with Spectacular Views,2017-04-15 22:23:14.256501,41.407138,2.12094,0101000020E6100000D6390664AFF70040BC7A15191DB44440
16738878,1076,45764838,Entire home/apt,,Barcelona,,Sarrià-Sant Gervasi,0,0.0,12,5.0,,10300.0,,Villa 1904- Modernist Jewel with Impeccable Views,2017-04-15 22:23:14.250953,41.409863,2.142526,0101000020E610000038A3E6ABE4230140946B0A6476B44440
17211611,1076,1893397,Entire home/apt,,Barcelona,,Sants-Montjuïc,0,0.0,8,4.0,,8750.0,,Luxury Motor Yacht in Port Vell,2017-04-15 22:23:14.245045,41.368201,2.176384,0101000020E6100000234DBC033C69014060ADDA3521AF4440
16754469,1076,45764838,Entire home/apt,,Barcelona,,Sarrià-Sant Gervasi,0,0.0,6,3.0,,3257.0,,City Lux - A Spacious 3BR Condo in the City!,2017-04-15 22:23:14.242703,41.399517,2.141428,0101000020E6100000D5E8D500A52101401899805F23B34440
17825383,1076,45764838,Entire home/apt,,Barcelona,,Les Corts,0,0.0,4,2.0,,2616.0,,Love of Design - Striking Barcelona Apartment,2017-04-15 22:23:14.240112,41.393466,2.115329,0101000020E61000003A3E5A9C31EC0040410B09185DB24440
12060436,1076,30629883,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,6,3.0,,1641.0,,APARTMENT SEA BARCELONA,2017-04-15 22:23:14.237449,41.409452,2.210023,0101000020E61000003143E38920AE014012A452EC68B44440
17939864,1076,45764838,Entire home/apt,,Barcelona,,Eixample,0,0.0,4,2.0,,1705.0,,El Corazón 6 - Modern Apartment in Heart of City!,2017-04-15 22:23:14.235132,41.395201,2.158006,0101000020E6100000FF9254A6984301405A2C45F295B24440
14816933,1076,20442568,Entire home/apt,,Barcelona,,Horta-Guinardó,1,0.0,16,10.0,,2188.0,,DREAM MASIA,2017-04-15 22:23:14.232394,41.442834,2.146766,0101000020E6100000615111A7932C014047C7D5C8AEB84440
736098,1076,2975554,Entire home/apt,,Barcelona,,Les Corts,7,5.0,5,1.0,,3281.0,,Great Discount. Jacuzzi Apartment,2017-04-15 22:23:14.224875,41.382598,2.134478,0101000020E61000007D40A03369130140ECC1A4F8F8B04440
17937441,1076,45764838,Entire home/apt,,Barcelona,,Eixample,0,0.0,4,2.0,,1570.0,,El Corazón 5 - NEW Modern Home in Heart of City!,2017-04-15 22:23:14.222075,41.39344,2.159324,0101000020E610000044BE4BA94B4601401878EE3D5CB24440
13009704,1076,23226762,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,6,3.0,,1476.0,,Luxury duplex penthouse,2017-04-15 22:23:12.824701,41.414731,2.209882,0101000020E61000000F27309DD6AD014096D1C8E715B54440
6669143,1076,5729069,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,16,10.0,,1411.0,,4 SEASIDE Apartments,2017-04-15 22:23:12.822063,41.404343,2.211847,0101000020E6100000B30B06D7DCB10140EAAEEC82C1B34440
3108648,1076,10730981,Entire home/apt,,Barcelona,,Sant Martí,2,0.0,8,4.0,,1279.0,,Penthouse Illa Del Llac,2017-04-15 22:23:12.817767,41.408672,2.215185,0101000020E6100000D4B7CCE9B2B801403D65355D4FB44440
6669821,1076,5729069,Entire home/apt,,Barcelona,,Sant Martí,2,0.0,16,10.0,,1039.0,,4 OLYMPIC DIAGONAL APARTMENTS,2017-04-15 22:23:12.815506,41.403786,2.211473,0101000020E610000064E597C118B10140944A7842AFB34440
10380161,1076,30629883,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,6,3.0,,1061.0,,PENTHOUSE SEA BARCELONA,2017-04-15 22:23:12.812670,41.406104,2.214781,0101000020E6100000DB6AD619DFB701402C634337FBB34440
13658017,1076,38325952,Entire home/apt,,Barcelona,,Sant Martí,1,0.0,6,3.0,,1094.0,,"Lujo en Barcelona,Yate Port Olimpic",2017-04-15 22:23:12.809922,41.385003,2.201586,0101000020E6100000D2A6EA1ED99C014052EE3EC747B14440
17494740,1076,63048416,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,8,4.0,,1246.0,,Beautiful apartment in front of the beach,2017-04-15 22:23:12.807706,41.406291,2.216358,0101000020E6100000E1D231E719BB01405FD4EE5701B44440
3087648,1076,10730981,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,8,3.0,,1367.0,,Penthouse Illa De La Llum,2017-04-15 22:23:12.804819,41.404622,2.21441,0101000020E61000009E7B0F971CB70140FE9E58A7CAB34440
6670509,1076,5729069,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,16,10.0,,1312.0,,5 apartments in Olympic zone,2017-04-15 22:23:12.801562,41.391641,2.192425,0101000020E610000060764F1E168A0140E962D34A21B24440
17175085,1076,45764838,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,6,2.0,,1033.0,,Trendy Loft - Steps from the Sea,2017-04-15 22:23:11.483634,41.396474,2.19861,0101000020E6100000BB44F5D6C09601406EDBF7A8BFB24440
17659302,1076,17840000,Entire home/apt,,Barcelona,,Sant Andreu,0,0.0,13,5.0,,1093.0,,Villa de Lujo Barcelona Capital,2017-04-15 22:23:11.481331,41.437657,2.188683,0101000020E6100000467D923B6C820140C8EE022505B84440
17725664,1076,4459553,Entire home/apt,,Barcelona,,Eixample,0,0.0,6,2.0,,1094.0,,Ref.2426 AB Plaza Catalunya Luxury Apartment 5-1,2017-04-15 22:23:11.479114,41.388926,2.170413,0101000020E61000008881AE7D015D01403448C153C8B14440
