room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
14120005,32727836,Shared room,,Sants-Montjuïc,6,3.0,16,1.0,82.0,,41.37416,2.157719,2017-01-19 06:22:25.540642
13530998,11477489,Shared room,,Nou Barris,3,5.0,4,1.0,31.0,,41.44236,2.175385,2017-01-19 06:22:16.773309
6712128,32727836,Shared room,,Sants-Montjuïc,33,4.0,12,1.0,56.0,,41.372819,2.157552,2017-01-19 06:22:08.989417
13108512,72866971,Shared room,,Ciutat Vella,3,3.5,2,1.0,55.0,,41.380869,2.17074,2017-01-19 06:22:08.973885
13332575,9025180,Shared room,,Gràcia,5,3.5,16,1.0,45.0,,41.407683,2.1593,2017-01-19 06:22:07.903299
13913828,33051500,Shared room,,Horta-Guinardó,3,4.5,2,1.0,38.0,,41.416834,2.157943,2017-01-19 06:22:06.044740
14867931,40883798,Shared room,,Eixample,0,0.0,3,1.0,36.0,,41.398873,2.178901,2017-01-19 06:22:06.042092
6800342,35598955,Shared room,,Eixample,3,4.5,2,1.0,39.0,,41.404882,2.174815,2017-01-19 06:22:06.039322
8991744,30058325,Shared room,,Eixample,1,0.0,2,1.0,38.0,,41.390007,2.144045,2017-01-19 06:22:06.030883
14471527,55554688,Shared room,,Sant Andreu,3,3.5,2,1.0,30.0,,41.449103,2.194079,2017-01-19 06:22:06.027921
2329322,11897267,Shared room,,Sants-Montjuïc,19,4.5,2,1.0,31.0,,41.373585,2.143214,2017-01-19 06:22:06.018801
1823947,9547606,Shared room,,Sants-Montjuïc,48,4.0,16,1.0,22.0,,41.378011,2.129361,2017-01-19 06:22:02.562127
12249212,65920507,Shared room,,Sant Martí,9,3.5,2,1.0,23.0,,41.413818,2.199274,2017-01-19 06:22:02.557696
852204,4449424,Shared room,,Sants-Montjuïc,76,4.0,4,1.0,39.0,,41.37073,2.142726,2017-01-19 06:22:02.551084
15440152,98818457,Shared room,,Gràcia,2,0.0,2,1.0,30.0,,41.399338,2.158687,2017-01-19 06:22:01.696939
8529563,9547606,Shared room,,Les Corts,10,4.0,3,1.0,16.0,,41.37741,2.123894,2017-01-19 06:22:01.694522
16526723,108682562,Shared room,,Eixample,0,0.0,4,1.0,11.0,,41.391461,2.160826,2017-01-19 06:22:01.672848
