room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
380433,1225,1908520,Shared room,,Barcelona,,Gràcia,56,5.0,2,1.0,,23.0,,SPECIAL Apart. GRACIA @CENTER BCN@,2017-05-13 13:20:26.362399,41.40015,2.158267,0101000020E6100000CB49287D2144014048BF7D1D38B34440
13061851,1225,7778897,Shared room,,Barcelona,,Gràcia,26,4.5,3,1.0,,28.0,,"Shared 12 beds dorm in Gracia, near Park Güell",2017-05-13 13:20:26.359299,41.411494,2.156122,0101000020E6100000287D21E4BC3F01400740DCD5ABB44440
8626546,1225,44913823,Shared room,,Barcelona,,Gràcia,81,4.5,1,1.0,,22.0,,Library Room 2 Rambla Catalunya,2017-05-13 13:20:26.355627,41.397185,2.157227,0101000020E6100000B262B83A004201401BBB44F5D6B24440
18100871,1225,124679595,Entire home/apt,,Barcelona,,Eixample,0,0.0,10,5.0,,581.0,,Large Barcelona Apartment near the Ramblas,2017-05-13 13:17:38.031547,41.387497,2.1659,0101000020E61000004F401361C353014029266F8099B14440
17682800,1225,29236958,Entire home/apt,,Barcelona,,Ciutat Vella,0,0.0,16,5.0,,640.0,,Large apartment №1 6731,2017-05-13 13:16:44.699839,41.381303,2.181093,0101000020E6100000B74604E3E0720140F06E6589CEB04440
3325355,1225,2219319,Entire home/apt,,Barcelona,,Eixample,8,4.0,7,3.0,,202.0,,Spacious fully renovated flat,2017-05-13 13:10:49.961659,41.382439,2.151481,0101000020E610000017B9A7AB3B36014083DBDAC2F3B04440
1720249,1225,9007369,Entire home/apt,,Barcelona,,Eixample,2,0.0,6,3.0,,958.0,,Aragon Platinum III Barcelona,2017-05-13 13:10:17.432475,41.394676,2.167567,0101000020E6100000541C075E2D5701400F4240BE84B24440
17582798,1225,4459553,Entire home/apt,,Barcelona,,Sants-Montjuïc,6,5.0,9,5.0,,785.0,,1920 AB Paral.lel Spacious Apartments 3rd Floor,2017-05-13 13:10:17.404582,41.373887,2.16845,0101000020E6100000F0164850FC58014025B37A87DBAF4440
13161524,1225,23226762,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,8,4.0,,902.0,,Exclusive apartment in Diagonal Mar,2017-05-13 13:03:55.110386,41.40912,2.209039,0101000020E610000057B5A4A31CAC0140DC114E0B5EB44440
4656439,1225,24001256,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,6,2.0,,202.0,,Two-Bedroom Beach Apartment (257),2017-05-13 13:00:07.526358,41.406993,2.214392,0101000020E61000003831242713B70140B859BC5818B44440
