room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
3091940,10252018,Private room,,Sant Martí,47,4.5,3,1.0,25.0,2.0,41.396417,2.197496,2016-10-22 21:37:30.248752
13799739,38488972,Private room,,Sarrià-Sant Gervasi,0,,2,1.0,124.0,,41.410915,2.139783,2016-10-22 21:37:27.464966
4497508,1315661,Private room,,Eixample,68,4.5,2,1.0,45.0,1.0,41.402577,2.171074,2016-10-22 21:37:22.834413
1258555,6854541,Entire home/apt,,Eixample,5,4.5,2,1.0,112.0,3.0,41.396565,2.182192,2016-10-22 21:37:21.444072
260462,632830,Entire home/apt,,Gràcia,160,4.5,4,0.0,67.0,3.0,41.406169,2.150847,2016-10-22 21:37:19.254600
5688077,6544866,Entire home/apt,,Eixample,5,5.0,4,2.0,225.0,1.0,41.392617,2.173397,2016-10-22 21:37:10.541630
2478132,12675184,Private room,,Sarrià-Sant Gervasi,0,,2,1.0,78.0,2.0,41.40845,2.137576,2016-10-22 21:37:10.166423
15457818,2480282,Entire home/apt,,Gràcia,0,,4,2.0,166.0,3.0,41.402078,2.164162,2016-10-22 21:37:06.255276
9806225,17565694,Entire home/apt,,Eixample,3,5.0,2,1.0,78.0,1.0,41.39976,2.163887,2016-10-22 21:37:02.896753
472062,2337603,Entire home/apt,,Gràcia,6,4.5,4,2.0,127.0,3.0,41.398523,2.161593,2016-10-22 21:37:02.606350
804268,4232898,Entire home/apt,,Sant Martí,22,4.5,4,1.0,124.0,2.0,41.394687,2.193721,2016-10-22 21:36:23.144720
495504,2036118,Entire home/apt,,Eixample,21,4.5,6,2.0,167.0,2.0,41.393143,2.159923,2016-10-22 21:36:22.878429
13517114,902253,Entire home/apt,,Eixample,15,5.0,5,1.0,169.0,1.0,41.392242,2.158047,2016-10-22 21:36:15.374830
6428561,4991777,Entire home/apt,,Sant Martí,4,4.0,5,3.0,106.0,4.0,41.414417,2.213771,2016-10-22 21:35:39.393895
3392606,12199935,Private room,,Sant Martí,36,4.5,4,1.0,67.0,1.0,41.397054,2.205334,2016-10-22 21:35:01.555435
8109648,25546448,Private room,,Ciutat Vella,1,,2,1.0,56.0,1.0,41.384187,2.180189,2016-10-22 21:34:41.546848
