room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7213726,37704377,Entire home/apt,,Gràcia,3,,3,1.0,57.0,1.0,41.403889,2.155317,2016-05-31 17:34:20.366216
7906883,40044667,Private room,,Sants-Montjuïc,7,4.0,3,1.0,22.0,3.0,41.372337,2.163103,2016-05-31 17:34:16.360162
12963303,52338572,Private room,,Sants-Montjuïc,1,,2,1.0,44.0,1.0,41.373812,2.172958,2016-05-31 17:34:08.193730
12690867,13089631,Private room,,Gràcia,0,,1,1.0,16.0,,41.402647,2.150557,2016-05-31 17:34:01.949895
5458126,1529554,Entire home/apt,,Eixample,6,5.0,3,1.0,172.0,3.0,41.391607,2.162041,2016-05-31 17:33:58.373408
11985979,40100463,Entire home/apt,,Ciutat Vella,2,,4,2.0,113.0,5.0,41.383009,2.188549,2016-05-31 17:33:55.751463
6766209,35421811,Private room,,Ciutat Vella,11,5.0,1,1.0,34.0,1.0,41.377486,2.174939,2016-05-31 17:33:30.846593
5353455,3081836,Private room,,Ciutat Vella,40,4.5,1,1.0,45.0,2.0,41.384787,2.171112,2016-05-31 17:33:24.199891
4648173,24001256,Entire home/apt,,Sant Martí,1,,8,4.0,594.0,,41.407395,2.212738,2016-05-31 17:33:01.737035
7894510,41622704,Private room,,Ciutat Vella,0,,2,1.0,34.0,2.0,41.382863,2.170243,2016-05-31 17:32:45.643563
3356447,1275637,Entire home/apt,,Sant Martí,25,4.0,5,2.0,70.0,,41.402536,2.200995,2016-05-31 17:32:42.128941
11337013,23905845,Private room,,Ciutat Vella,0,,1,1.0,161.0,2.0,41.383574,2.164611,2016-05-31 17:32:31.413365
2247805,11392371,Private room,,Ciutat Vella,82,4.0,2,1.0,23.0,1.0,41.379399,2.16904,2016-05-31 17:32:20.285663
13108823,71813933,Entire home/apt,,Sant Martí,0,,14,0.0,367.0,1.0,41.395266,2.190429,2016-05-31 17:32:07.940916
6702579,32890402,Private room,,Sants-Montjuïc,1,,1,1.0,41.0,2.0,41.369993,2.143072,2016-05-31 17:32:04.798323
7942026,41883944,Private room,,Sants-Montjuïc,0,,1,1.0,52.0,1.0,41.372098,2.129843,2016-05-31 17:32:01.479825
13089424,72654451,Private room,,Eixample,0,,2,1.0,58.0,1.0,41.375516,2.166367,2016-05-31 17:31:51.156974
7361165,38567878,Private room,,Sants-Montjuïc,0,,1,1.0,40.0,4.0,41.373225,2.168903,2016-05-31 17:31:39.036481
13060132,64531453,Private room,,Eixample,0,,2,1.0,40.0,1.0,41.402587,2.176112,2016-05-31 17:31:23.643180
13246100,453973,Private room,,Ciutat Vella,0,,2,1.0,34.0,,41.378455,2.17869,2016-05-31 17:31:18.709988
13218014,23185841,Private room,,Sarrià-Sant Gervasi,0,,3,1.0,78.0,1.0,41.395034,2.148107,2016-05-31 17:31:15.713640
10985227,661744,Entire home/apt,,Eixample,11,5.0,2,1.0,230.0,2.0,41.392639,2.162754,2016-05-31 17:31:12.753415
8646075,39129979,Private room,,Eixample,0,,2,1.0,58.0,1.0,41.38475,2.162639,2016-05-31 17:31:05.385544
3374176,4064440,Entire home/apt,,Eixample,10,4.5,4,1.0,92.0,3.0,41.381644,2.160332,2016-05-31 17:31:02.618477
1277699,6953961,Entire home/apt,,Sant Martí,27,4.5,7,3.0,160.0,1.0,41.40633,2.21365,2016-05-31 17:30:59.784388
3755589,3994494,Private room,,Eixample,37,4.5,2,1.0,58.0,2.0,41.407366,2.177682,2016-05-31 17:30:55.893325
7393343,5765846,Private room,,Eixample,0,,4,1.0,91.0,4.0,41.388038,2.162123,2016-05-31 17:30:32.017446
5766264,15296975,Private room,,Ciutat Vella,16,5.0,8,1.0,183.0,2.0,41.375306,2.180274,2016-05-31 17:30:19.951485
1454371,7627090,Private room,,Ciutat Vella,6,5.0,4,1.0,34.0,7.0,41.378525,2.178575,2016-05-31 17:30:10.863900
8094767,3270318,Private room,,Eixample,38,4.5,2,1.0,38.0,,41.378372,2.149569,2016-05-31 17:30:04.463242
6598399,34518893,Private room,,Sants-Montjuïc,37,4.5,2,1.0,74.0,2.0,41.370397,2.147608,2016-05-31 17:30:00.010690
6270800,15719907,Private room,,Eixample,3,4.5,2,1.0,52.0,2.0,41.385258,2.157434,2016-05-31 17:29:57.823983
1565192,7851863,Private room,,Eixample,16,4.5,2,1.0,45.0,3.0,41.382266,2.160395,2016-05-31 17:29:51.548334
9150241,29861893,Private room,,Ciutat Vella,7,4.0,2,1.0,52.0,1.0,41.38834,2.178633,2016-05-31 17:29:42.959081
545801,2447352,Private room,,Eixample,57,4.5,2,1.0,32.0,4.0,41.402956,2.181813,2016-05-31 17:29:36.204484
12661163,27485706,Private room,,Sants-Montjuïc,2,,4,1.0,43.0,1.0,41.368624,2.142232,2016-05-31 17:29:29.135730
6191850,31855254,Private room,,Gràcia,24,4.0,2,1.0,32.0,3.0,41.407762,2.165616,2016-05-31 17:29:25.999115
6244443,31642265,Shared room,,Gràcia,6,3.5,6,1.0,23.0,3.0,41.400986,2.16391,2016-05-31 17:29:19.460603
11467214,3376710,Entire home/apt,,Ciutat Vella,0,,6,2.0,58.0,3.0,41.389652,2.181516,2016-05-31 17:29:13.184377
8937534,46725401,Entire home/apt,,Sant Martí,6,4.5,2,1.0,92.0,2.0,41.409365,2.206096,2016-05-31 17:28:58.362303
6699300,4979782,Entire home/apt,,Sants-Montjuïc,25,5.0,4,2.0,80.0,3.0,41.374464,2.165943,2016-05-31 17:28:47.184390
