room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2918,3257,Private room,,Ciutat Vella,1,5.0,1,1.0,38.0,2,41.378576,2.188436,2014-05-21 03:12:56.726
10132,34580,Private room,,Ciutat Vella,124,5.0,2,1.0,66.0,2,41.38588,2.185098,2014-05-21 04:45:10.698
10938,39550,Entire home/apt,,Nou Barris,17,5.0,4,2.0,108.0,3,41.432447,2.17098,2014-05-21 18:41:27.195
11194,41161,Private room,,Ciutat Vella,16,4.5,2,1.0,61.0,2,41.383905,2.181047,2014-05-21 05:59:13.561
11318,38836,Entire home/apt,,Ciutat Vella,11,4.0,3,2.0,92.0,7,41.387442,2.177791,2014-05-21 18:03:23.574
11368,42188,Entire home/apt,,Ciutat Vella,13,4.5,4,1.0,131.0,1,41.387507,2.178608,2014-05-21 18:18:12.198
15090,59369,Entire home/apt,,Ciutat Vella,89,4.5,6,1.0,108.0,2,41.3836,2.181639,2014-05-21 19:09:13.638
16195,63080,Entire home/apt,,Ciutat Vella,87,5.0,2,1.0,152.0,3,41.383817,2.179957,2014-05-21 02:07:13.025
16627,58227,Private room,,Sant Martí,39,4.5,3,1.0,46.0,2,41.392873,2.187158,2014-05-21 19:11:26.707
18477,71164,Entire home/apt,,Eixample,60,5.0,4,2.0,108.0,3,41.377683,2.154875,2014-05-21 18:01:02.631
18654,71615,Entire home/apt,,Eixample,0,,6,3.0,215.0,3,41.404916,2.175677,2014-05-21 18:51:15.767
18666,71615,Entire home/apt,,Sant Martí,0,,6,2.0,143.0,2,41.408886,2.185545,2014-05-21 07:33:58.022
18674,71615,Entire home/apt,,Eixample,2,5.0,8,3.0,138.0,3,41.404197,2.173058,2014-05-21 19:09:19.731
19157,73099,Private room,,Eixample,66,4.5,2,1.0,57.0,2,41.407929,2.17454,2014-05-21 06:52:29.257
19246,73385,Private room,,Eixample,36,4.0,3,1.0,38.0,2,41.383797,2.149745,2014-05-21 01:28:41.223
19428,73846,Entire home/apt,,Ciutat Vella,81,4.5,2,,98.0,3,41.384313,2.172576,2014-05-24 22:57:00.234
19431,73846,Entire home/apt,,Ciutat Vella,79,4.5,2,,103.0,3,41.382532,2.172506,2014-05-21 07:27:54.426
19501,73846,Entire home/apt,,Ciutat Vella,24,4.5,2,,75.0,10,41.385023,2.182658,2014-05-21 01:26:26.935
19502,73846,Entire home/apt,,Ciutat Vella,59,4.5,2,,183.0,1,41.386691,2.182388,2014-05-21 01:28:46.035
19504,73846,Entire home/apt,,Ciutat Vella,9,4.0,2,2.0,83.0,10,41.382097,2.174883,2014-05-21 01:32:31.072
19552,74164,Entire home/apt,,Ciutat Vella,113,4.5,4,1.0,77.0,2,41.381082,2.174243,2014-05-21 03:01:03.954
19954,75365,Entire home/apt,,Ciutat Vella,14,5.0,2,1.0,138.0,7,41.389093,2.176708,2014-05-21 19:09:24.913
19959,75410,Entire home/apt,,Ciutat Vella,24,4.5,2,1.0,108.0,7,41.382034,2.172598,2014-05-21 19:19:48.184
20345,76809,Private room,,Nou Barris,41,4.5,4,1.0,35.0,2,41.429013,2.181236,2014-05-21 03:50:14.078
20535,77101,Private room,,Ciutat Vella,2,4.5,3,1.0,115.0,2,41.381796,2.19065,2014-05-21 01:44:48.207
20591,77873,Private room,,Sants-Montjuïc,0,,1,1.0,49.0,1,41.371536,2.155491,2014-05-21 03:31:02.814
20901,79367,Entire home/apt,,Ciutat Vella,69,4.5,5,1.0,69.0,1,41.388949,2.178312,2014-05-21 05:19:27.567
21974,73163,Private room,,Ciutat Vella,0,,2,1.0,108.0,1,41.380768,2.17551,2014-05-21 06:54:44.005
24023,95116,Entire home/apt,,Ciutat Vella,108,4.5,2,1.0,104.0,1,41.380571,2.174476,2014-05-21 06:56:28.760
25457,14621253,Entire home/apt,,Eixample,98,5.0,4,1.0,153.0,3,41.391092,2.179501,2014-05-21 03:35:22.061
25536,106580,Private room,,Sants-Montjuïc,3,4.5,1,1.0,46.0,1,41.371905,2.143776,2014-05-21 06:12:27.648
25786,108310,Private room,,Gràcia,45,4.5,2,1.0,38.0,1,41.401269,2.156046,2014-05-21 05:59:42.809
26283,111187,Private room,,Horta-Guinardó,0,,2,1.0,65.0,7,41.433736,2.154143,2014-05-21 05:31:24.634
26846,114509,Entire home/apt,,Eixample,5,4.5,2,1.0,123.0,3,41.383713,2.163082,2014-05-21 18:51:22.442
27186,116542,Entire home/apt,,Ciutat Vella,53,4.5,5,2.0,74.0,1,41.387635,2.175628,2014-05-21 18:02:23.415
28331,14621253,Entire home/apt,,Ciutat Vella,98,5.0,2,1.0,184.0,3,41.387015,2.179262,2014-05-21 05:31:26.390
29392,126412,Private room,,Eixample,0,,2,1.0,58.0,7,41.397672,2.176939,2014-05-21 06:42:59.724
30670,132037,Entire home/apt,,Eixample,10,5.0,4,2.0,200.0,5,41.393877,2.18141,2014-05-21 06:38:56.082
31377,134698,Private room,,Horta-Guinardó,0,,2,1.0,58.0,3,41.410969,2.170701,2014-05-21 04:39:26.268
31380,134698,Private room,,Horta-Guinardó,0,,3,1.0,69.0,3,41.4109,2.170819,2014-05-21 04:46:08.614
31422,134990,Entire home/apt,,Ciutat Vella,4,4.5,5,2.0,81.0,1,41.387795,2.177693,2014-05-21 18:42:26.218
31823,136853,Entire home/apt,,Eixample,6,4.5,6,2.0,173.0,3,41.387336,2.159215,2014-05-21 02:31:24.556
31826,136853,Entire home/apt,,Ciutat Vella,6,5.0,6,2.0,129.0,3,41.38177,2.187106,2014-05-21 02:36:12.941
31831,136853,Private room,,Gràcia,0,,6,1.0,276.0,3,41.398466,2.157697,2014-05-21 02:45:14.546
31845,136853,Entire home/apt,,Gràcia,0,,4,2.0,274.0,3,41.398907,2.160085,2014-05-21 18:16:48.517
31846,136853,Entire home/apt,,Gràcia,0,,4,1.0,207.0,3,41.398423,2.158638,2014-05-21 18:17:12.664
31958,136853,Entire home/apt,,Gràcia,15,5.0,4,1.0,174.0,3,41.409555,2.15924,2014-05-21 06:55:05.876
32341,139879,Entire home/apt,,Sant Martí,27,5.0,4,2.0,307.0,2,41.392137,2.196939,2014-05-21 18:11:51.517
32351,139968,Private room,,Ciutat Vella,40,4.5,2,1.0,40.0,2,41.386608,2.180595,2014-05-21 02:59:44.123
32471,136853,Entire home/apt,,Gràcia,4,4.5,6,3.0,209.0,3,41.408972,2.159313,2014-05-21 06:56:50.513
32480,136853,Entire home/apt,,Ciutat Vella,4,4.5,7,3.0,152.0,3,41.388725,2.177917,2014-05-21 07:14:03.653
32483,140583,Private room,,Sants-Montjuïc,0,,2,1.0,111.0,1,41.372831,2.163863,2014-05-21 07:20:55.136
32595,141133,Private room,,Sant Martí,0,,1,1.0,66.0,1,41.410827,2.212874,2014-05-21 02:37:56.948
32599,141151,Private room,,Eixample,0,,1,1.0,74.0,1,41.39635,2.182942,2014-05-21 02:45:17.807
32615,141199,Private room,,Les Corts,18,5.0,2,1.0,61.0,2,41.387196,2.140881,2014-05-21 03:15:51.048
32711,135703,Entire home/apt,,Gràcia,7,5.0,6,2.0,178.0,2,41.404636,2.169538,2014-05-21 06:25:49.436
32868,136853,Entire home/apt,,Eixample,20,4.5,11,3.0,239.0,3,41.395659,2.174168,2014-05-21 03:09:04.592
32928,142667,Private room,,Horta-Guinardó,7,4.5,2,1.0,69.0,1,41.423506,2.170958,2014-05-21 05:08:38.161
33012,143043,Private room,,Sant Martí,0,,1,1.0,88.0,1,41.418275,2.2043,2014-05-21 19:14:10.440
33718,136853,Entire home/apt,,Eixample,6,4.5,8,3.0,181.0,3,41.398566,2.175273,2014-05-21 05:51:31.553
33722,145792,Entire home/apt,,Gràcia,0,,1,3.0,151.0,1,41.40403,2.166606,2014-05-21 05:59:57.500
34236,73163,Private room,,Ciutat Vella,3,4.0,2,1.0,100.0,1,41.378534,2.177443,2014-05-21 06:03:57.141
34775,149963,Private room,,Sarrià-Sant Gervasi,5,5.0,1,1.0,38.0,3,41.406902,2.136663,2014-05-21 06:56:59.461
34936,150453,Private room,,Sarrià-Sant Gervasi,0,,2,1.0,92.0,3,41.396774,2.140799,2014-05-21 03:48:49.356
34981,73163,Entire home/apt,,Ciutat Vella,29,4.5,8,4.0,338.0,2,41.378537,2.177384,2014-05-21 05:19:43.429
35159,151265,Private room,,Horta-Guinardó,0,,2,1.0,160.0,1,41.426683,2.138794,2014-05-21 02:45:38.232
35318,152070,Private room,,Ciutat Vella,104,4.5,2,1.0,74.0,3,41.381451,2.17544,2014-05-21 19:18:15.293
35328,152097,Private room,,Horta-Guinardó,49,4.5,2,1.0,40.0,1,41.420647,2.158501,2014-05-21 00:00:17.295
35379,152232,Private room,,Eixample,1,5.0,2,1.0,61.0,1,41.390292,2.152678,2014-05-21 01:38:36.275
35388,152232,Private room,,Eixample,1,4.5,1,1.0,46.0,1,41.390584,2.151897,2014-05-21 01:55:00.201
35390,152232,Private room,,Eixample,2,5.0,1,1.0,46.0,1,41.391467,2.151185,2014-05-21 01:58:31.091
35392,152232,Private room,,Eixample,0,,2,1.0,61.0,1,41.390752,2.150717,2014-05-21 02:01:24.036
35940,154251,Entire home/apt,,Ciutat Vella,67,4.5,3,1.0,92.0,3,41.38574,2.171888,2014-05-21 03:09:13.674
36061,73163,Private room,,Ciutat Vella,2,4.5,2,1.0,100.0,2,41.380304,2.176919,2014-05-21 07:08:54.974
36463,156814,Entire home/apt,,Ciutat Vella,39,5.0,3,1.0,91.0,3,41.387253,2.181467,2014-05-21 03:31:42.856
36620,157469,Entire home/apt,,Ciutat Vella,123,4.5,5,2.0,184.0,3,41.386929,2.183409,2014-05-21 00:22:29.468
