room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10938,39550,Entire home/apt,,Nou Barris,19,5.0,4.0,2.0,105.0,3.0,41.432447,2.17098,2015-05-02 21:19:47.655
11194,41161,Private room,,Ciutat Vella,37,4.5,2.0,1.0,49.0,2.0,41.383905,2.181047,2015-05-02 21:19:54.407
11368,42188,Entire home/apt,,Ciutat Vella,18,4.5,4.0,1.0,3333.0,30.0,41.387507,2.178608,2015-05-02 14:34:15.349
15090,59369,Entire home/apt,,Ciutat Vella,101,4.0,,1.0,105.0,2.0,41.3836,2.181639,2015-05-03 01:47:35.364
16195,63080,Entire home/apt,,Ciutat Vella,124,5.0,2.0,1.0,161.0,,41.383817,2.179957,2015-05-02 11:31:14.870
16627,58227,Private room,,Sant Martí,44,4.0,2.0,1.0,39.0,2.0,41.392873,2.187158,2015-05-03 01:52:12.822
18477,71164,Entire home/apt,,Eixample,61,5.0,4.0,2.0,1961.0,30.0,41.377683,2.154875,2015-05-02 09:42:01.230
18666,71615,Entire home/apt,,Sant Martí,0,,,2.0,130.0,2.0,41.408886,2.185545,2015-05-03 01:10:55.548
18674,71615,Entire home/apt,,Eixample,2,5.0,,3.0,133.0,3.0,41.404197,2.173058,2015-05-03 01:47:56.453
19157,73099,Private room,,Eixample,75,4.5,2.0,1.0,52.0,2.0,41.407929,2.17454,2015-05-02 23:34:29.088
19246,73385,Private room,,Eixample,43,4.5,3.0,1.0,70.0,2.0,41.384167,2.150367,2015-05-02 09:46:19.472
19428,73846,Entire home/apt,,Ciutat Vella,98,4.5,2.0,,1330.0,32.0,41.384317,2.17266,2015-05-03 00:42:39.470
19431,73846,Entire home/apt,,Ciutat Vella,100,4.5,2.0,,1190.0,32.0,41.382536,2.17259,2015-05-03 00:56:15.128
19501,73846,Entire home/apt,,Ciutat Vella,26,4.5,2.0,,1260.0,32.0,41.385023,2.182658,2015-05-02 09:42:07.593
19552,74164,Entire home/apt,,Ciutat Vella,154,4.5,4.0,1.0,70.0,2.0,41.381082,2.174243,2015-05-02 13:55:03.016
19954,75365,Entire home/apt,,Ciutat Vella,20,5.0,2.0,1.0,126.0,7.0,41.388269,2.176325,2015-05-03 01:48:11.455
19959,75410,Entire home/apt,,Ciutat Vella,28,4.5,2.0,1.0,97.0,14.0,41.382537,2.171788,2015-05-03 02:10:21.634
20345,76809,Private room,,Nou Barris,42,4.5,4.0,1.0,32.0,2.0,41.429013,2.181236,2015-05-02 15:59:41.280
